resource_type,resource_id,source_id,match_method
library,KpqC-Competition-Results,kisa,direct
library,NIST-FIPS140-3-IG-PQC,nist-csrc,direct
library,3GPP-PQC-Study-2025,gsma,direct
library,liboqs-v0.15.0,oqs-project,direct
library,TCG-TPM-V185-Part0,tcg,direct
library,TCG-TPM-V185-Part1,tcg,direct
library,TCG-TPM-V185-Part2,tcg,direct
library,TCG-TPM-V185-Part3,tcg,direct
library,FIPS 203,nist-csrc,direct
library,FIPS 204,nist-csrc,direct
library,FIPS 205,nist-csrc,direct
library,FIPS 206,nist-csrc,direct
library,FIPS 186-5,nist-csrc,direct
library,NIST SP 800-208,nist-csrc,direct
library,NIST SP 800-227,nist-csrc,direct
library,NIST IR 8547,nist-csrc,direct
library,NIST IR 8545,nist-csrc,direct
library,HQC Specification,nist-csrc,direct
library,RFC 9629,ietf,direct
library,RFC 9708,ietf,direct
library,RFC 9794,ietf,direct
library,RFC 9802,ietf,direct
library,RFC 9810,ietf,direct
library,RFC 9814,ietf,direct
library,RFC 9858,ietf,direct
library,RFC 9882,ietf,direct
library,draft-ietf-tls-hybrid-design-16,ietf,direct
library,draft-ietf-tls-ecdhe-mlkem-04,ietf,direct
library,draft-ietf-tls-mlkem-07,ietf,direct
library,draft-ietf-ipsecme-ikev2-mlkem,ietf,direct
library,draft-yang-tls-hybrid-sm2-mlkem-03,ietf,direct
library,RFC 9881,ietf,direct
library,draft-ietf-lamps-pq-composite-kem-12,ietf,direct
library,draft-ietf-lamps-pq-composite-sigs-15,ietf,direct
library,draft-ietf-lamps-cms-kyber-13,ietf,direct
library,draft-ietf-openpgp-pqc-17,ietf,direct
library,draft-ietf-pquip-pqc-engineers-14,ietf,direct
library,draft-ietf-pquip-hybrid-signature-spectrums-07,ietf,direct
library,draft-ietf-uta-pqc-app-01,ietf,direct
library,draft-kwiatkowski-pquip-pqc-migration-00,ietf,direct
library,draft-wang-ipsecme-kem-auth-ikev2-03,ietf,direct
library,ETSI TS 103 744,etsi-cyber,direct
library,ETSI TR 103 619,etsi-cyber,direct
library,NSA CNSA 2.0,nsa-media,direct
library,NSA CNSA 2.0 FAQ,nsa-media,direct
library,BSI TR-02102-1,bsi,direct
library,BSI TR-02102-2,bsi,direct
library,BSI TR-02102-3,bsi,direct
library,BSI TR-02102-4,bsi,direct
library,ANSSI PQC Position Paper,anssi,direct
library,ANSSI PQC Follow-up Paper,anssi,direct
library,EU PQC Recommendation,ec,direct
library,ENISA PQC Guidelines,enisa,direct
library,EUCC v2.0 ACM,enisa,direct
library,UK NCSC PQC Guidance,ncsc-uk,direct
library,NIST NCCoE SP 1800-38C,nist-csrc,direct
library,ISO/IEC 14888-4:2024,iso-iec-sc27,direct
library,Japan CRYPTREC Report 2024,cryptrec,direct
library,Singapore-CSA-Quantum-Safe-Handbook,csa-singapore,direct
library,Canada CSE PQC Guidance,cccs,direct
library,GSMA PQ.03 PQC Guidelines,gsma,direct
library,3GPP TS 33.501,gsma,direct
library,IETF RFC 8391,ietf,direct
library,IETF RFC 8554,ietf,direct
library,IETF RFC 9370,ietf,direct
library,IETF RFC 8784,ietf,direct
library,CISA-PQC-CATEGORY-LIST-2026,cisa,direct
library,ETSI-TS-104-015,etsi-cyber,direct
library,draft-wang-ipsecme-hybrid-kem-ikev2-frodo-03,ietf,direct
library,draft-turner-lamps-cms-fn-dsa-00,ietf,direct
library,draft-ietf-cose-falcon-04,ietf,direct
library,EO-14306,omb,direct
library,CA-B-Forum-Ballot-SMC013,pki-consortium,direct
library,draft-kampanakis-curdle-ssh-pq-ke,ietf,direct
library,draft-ietf-pquip-hbs-state,ietf,direct
library,draft-sfluhrer-ipsecme-ikev2-mldsa-01,ietf,direct
library,draft-ietf-tls-mldsa-02,ietf,direct
library,RFC 9690,ietf,direct
library,RFC 8551,ietf,direct
library,NIST-SP-800-90A-R1,nist-csrc,direct
library,NIST-SP-800-90B,nist-csrc,direct
library,NIST-SP-800-90C,nist-csrc,direct
library,ETSI-GS-QKD-002,etsi-cyber,direct
library,ETSI-GS-QKD-003,etsi-cyber,direct
library,ETSI-GS-QKD-004,etsi-cyber,direct
library,ETSI-GS-QKD-005,etsi-cyber,direct
library,ETSI-GS-QKD-008,etsi-cyber,direct
library,ETSI-GS-QKD-011,etsi-cyber,direct
library,ETSI-GS-QKD-012,etsi-cyber,direct
library,ETSI-GS-QKD-014,etsi-cyber,direct
library,ETSI-GS-QKD-015,etsi-cyber,direct
library,ETSI-GS-QKD-016,etsi-cyber,direct
library,ETSI-GS-QKD-018,etsi-cyber,direct
library,RFC-9258,ietf,direct
library,NIST-SP-800-108-R1,nist-csrc,direct
library,NIST-SP-800-56C-R2,nist-csrc,direct
library,PKCS11-V3-OASIS,oasis,direct
library,PKCS11-V31-OASIS,oasis,direct
library,PKCS11-V32-OASIS,oasis,direct
library,BIP-32,bitcoin-core,direct
library,BIP-39,satoshilabs,direct
library,BIP-44,satoshilabs,direct
library,SLIP-0010,satoshilabs,direct
library,EIP-55,eth-foundation,direct
library,EIP-155,eth-foundation,direct
library,SEC2-v2,secg,direct
library,RFC-8032,ietf,direct
library,Bitcoin-Whitepaper,bitcoin-core,direct
library,Ethereum-Yellow-Paper,eth-foundation,direct
library,OpenSSL-3x-Docs,openssl-project,direct
library,BIP-141,bitcoin-core,direct
library,BIP-340,bitcoin-core,direct
library,BIP-341,bitcoin-core,direct
library,Bitcoin-BIP360-P2QRH,bitcoin-core,direct
library,Ethereum-EIP4337-AA,eth-foundation,direct
library,Ethereum-EIP7702,eth-foundation,direct
library,FRB-FEDS-2025093-Blockchain-PQC,federal-reserve,direct
library,Ethereum-PQC-Tasklist-Ethresearch,eth-foundation,direct
library,IETF-MTC-Draft-09,ietf,direct
library,RFC-9162,ietf,direct
library,Cloudflare-MTC-Blog,cloudflare,direct
library,Radboud-MTC-Thesis-2025,radboud-university,direct
library,Cloudflare-PQ-Internet-2025,cloudflare,direct
library,eIDAS-2-Regulation,enisa,direct
library,EUDI-Wallet-ARF,ec,direct
library,ISO-18013-5-mDL,iso-iec-sc27,direct
library,RFC-9901-SD-JWT-VC,ietf,direct
library,IETF-SD-JWT-Draft,ietf,direct
library,OpenID4VCI-Spec,openid-foundation,direct
library,OpenID4VP-Spec,openid-foundation,direct
library,IETF-Token-Status-List,ietf,direct
library,CSC-API-v2-Spec,csc-cloudsig,direct
library,ETSI-EN-319-411,etsi-cyber,direct
library,NIST-SP-800-63-3,nist-csrc,direct
library,NIST-SP-800-131A-Rev3,nist-csrc,direct
library,India-DST-Quantum-Safe-Roadmap-2026,nist-csrc,direct
