software_name,cert_type,cert_id,cert_vendor,cert_product,pqc_algorithms,certification_level,status,cert_date,cert_link,deprecated_at,deprecated_reason,product_id,pqc_cert_flag,cert_link_quality,data_quality_notes,date_stamp
AWS-LC,FIPS 140-3,5146,"Amazon Web Services, Inc",AWS-LC Cryptographic Module (dynamic),No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-01-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5146,2026-06-04,not in regen,,,,,
AWS-LC,FIPS 140-3,5256,"Amazon Web Services, Inc.",AWS Link Encryption Module,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-05-05,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5256,2026-06-06,not in regen,,,,,
AWS-LC,FIPS 140-3,5298,"Amazon Web Services, Inc",AWS-LC 3 Cryptographic Module (dynamic),No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-06-03,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5298,2026-06-06,not in regen,,,,,
AWS-LC,FIPS 140-3,5310,Amazon Web Services,AWS Nitro Card Security Engine SSMAE,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-06-04,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5310,2026-06-06,not in regen,,,,,
AWS-LC,FIPS 140-3,5314,"Amazon Web Services, Inc",AWS-LC 3 Cryptographic Module (static),ML-KEM,FIPS 140-3 L1,Active,2026-06-05,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5314,,,,,,,
Amazon Web Services (AWS),ACVP,A6295,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA),ML-KEM,,deprecated,2024-11-25,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=18997,2026-06-06,not in regen,,,,,
Amazon Web Services (AWS),ACVP,A6880,"Amazon Web Services, Inc.",AWS Key Management Service Cryptographic Algorithm Library,ML-DSA,,deprecated,2025-05-02,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=19616,2026-06-06,not in regen,,,,,
Amazon Web Services (AWS),ACVP,A7917,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA3),"ML-DSA, ML-KEM",,deprecated,2026-01-21,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20709,2026-06-06,not in regen,,,,,
Amazon Web Services (AWS),FIPS 140-3,4490,"Amazon Web Services, Inc.",AWS OpenSSL FIPS Provider,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2023-04-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4490,2026-06-04,not in regen,,,,,
Amazon Web Services (AWS),FIPS 140-3,5146,"Amazon Web Services, Inc",AWS-LC Cryptographic Module (dynamic),No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-01-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5146,2026-06-04,not in regen,,,,,
Amazon Web Services (AWS),FIPS 140-3,5256,"Amazon Web Services, Inc.",AWS Link Encryption Module,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-05-05,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5256,2026-06-06,not in regen,,,,,
Amazon Web Services (AWS),FIPS 140-3,5298,"Amazon Web Services, Inc",AWS-LC 3 Cryptographic Module (dynamic),No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-06-03,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5298,2026-06-06,not in regen,,,,,
